Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Marker
EEDFELNL_00006_gene,123.9913461,-0.397044819,0.28689379,-1.383943582,0.16637573,0.425834313,0
EEDFELNL_00015_gene,1766.287619,0.20904444,0.263785509,0.792478863,0.428081512,0.677317395,0
EEDFELNL_00106_gene,132.2883493,0.534043981,0.38894713,1.373050318,0.169736704,0.428788385,0
EEDFELNL_01014_gene,1881.76168,-0.002015226,0.337269131,-0.005975128,0.995232566,0.997054003,0
EEDFELNL_01015_gene,1387.936213,0.51014653,0.327473019,1.557827666,0.119274106,0.358349014,0
EEDFELNL_01016_gene,237.1718362,0.384898202,0.41411686,0.929443449,0.35265932,0.614822857,0
EEDFELNL_01017_gene,4808.470547,-0.194908866,0.546126841,-0.356893036,0.721171883,0.876113445,0
EEDFELNL_01018_gene,130.6860344,-0.374270461,0.503473598,-0.743376539,0.457253744,0.698496859,0
EEDFELNL_01019_gene,5284.801727,-0.32573867,0.272206614,-1.196659643,0.231439243,0.501582197,0
EEDFELNL_01020_gene,27.92410897,-1.079792418,0.856271662,-1.261039535,0.207294604,0.473439419,0
EEDFELNL_01021_gene,79.78136422,-0.710241336,0.625281071,-1.135875318,0.256008749,0.528285186,0
EEDFELNL_01022_gene,38.77145148,-0.475533812,0.462551702,-1.028066289,0.303918647,0.575737732,0
EEDFELNL_01023_gene,194.1264765,-0.682761865,0.420488474,-1.623735031,0.104432371,0.335680826,0
EEDFELNL_00107_gene,1120.728089,0.266119595,0.214491127,1.240702118,0.214715812,0.482035962,0
EEDFELNL_01024_gene,638.5950951,-0.960103174,0.602437343,-1.593697974,0.111003698,0.347827102,0
EEDFELNL_01025_gene,553.2586013,-1.216811518,0.677036773,-1.7972606,0.072294258,0.279213999,0
EEDFELNL_01026_gene,16.11138191,-0.859123532,0.994430319,-0.863935376,0.387623392,NA,0
EEDFELNL_01027_gene,108.3108309,-1.123738163,0.769040726,-1.461220614,0.143954908,0.396398806,0
EEDFELNL_01028_gene,9.037796774,-0.202753776,0.984192503,-0.206010283,0.836782879,NA,0
EEDFELNL_01029_gene,3018.162165,0.206384343,0.331047637,0.623427932,0.533003348,0.756325004,0
EEDFELNL_01030_gene,111.7108101,0.837853927,0.326800829,2.563806004,0.010353139,0.090494107,0
EEDFELNL_01031_gene,268.2904426,-1.205059542,0.929617087,-1.296296678,0.194873293,0.456740563,0
EEDFELNL_01032_gene,45.3550975,-0.54424199,0.428939379,-1.268808639,0.204509323,0.470025528,0
EEDFELNL_01033_gene,55.25996606,-1.249902737,0.372410523,-3.356249778,0.000790072,0.013731325,0
EEDFELNL_00108_gene,1529.883211,-0.189674622,0.264691025,-0.71658879,0.473627863,0.711234875,0
EEDFELNL_01034_gene,254.5236178,-0.979366664,0.296744782,-3.300366929,0.000965585,0.015954283,0
EEDFELNL_01035_gene,243.1490359,-0.443878659,0.26513813,-1.674141167,0.094102859,0.317022704,0
EEDFELNL_01036_gene,444.4886284,0.021676854,0.315229361,0.068765341,0.945176407,0.980010624,0
EEDFELNL_01037_gene,168.9870638,0.129818828,0.34779541,0.373262051,0.708953418,0.871272637,0
EEDFELNL_01038_gene,53.23085584,0.697377569,0.371886527,1.875242898,0.060759315,0.257948992,0
EEDFELNL_01039_gene,187.0377227,-0.125892422,0.333528869,-0.377455846,0.705834871,0.868987108,0
EEDFELNL_01040_gene,192.7752436,-0.449757572,0.483458438,-0.930292115,0.352219859,0.614491295,0
EEDFELNL_01041_gene,145.9010998,-0.340200259,0.394435718,-0.86249861,0.388413198,0.643656131,0
EEDFELNL_01042_gene,63.48694729,-0.120348109,0.418650677,-0.287466653,0.773755032,0.900939383,0
EEDFELNL_01043_gene,218.1247775,-0.148654856,0.403178742,-0.368707079,0.712346071,0.872244616,0
EEDFELNL_00109_gene,1063.755161,-0.312484184,0.277209987,-1.127247208,0.259637976,0.531718558,0
EEDFELNL_01044_gene,121.6188206,0.713920493,0.333611576,2.13997518,0.032356773,0.181651823,0
EEDFELNL_01045_gene,127.9841366,0.506250706,0.394387864,1.283636622,0.19926913,0.462725415,0
EEDFELNL_01046_gene,101.1032264,0.538238306,0.326799684,1.646997632,0.099558533,0.329070513,0
EEDFELNL_01047_gene,38.8423848,0.331238815,0.39274008,0.843404664,0.399002164,0.652489316,0
EEDFELNL_01048_gene,7115.415263,-0.145108834,0.379878588,-0.381987401,0.70247071,0.868213524,0
EEDFELNL_01049_gene,860.6570822,0.336874537,0.417457377,0.806967502,0.419685206,0.6703892,0
EEDFELNL_01050_gene,352.0918444,0.076044989,0.271573054,0.280016696,0.779464696,0.904534083,0
EEDFELNL_01051_gene,1324.157548,-0.083854602,0.287504584,-0.291663531,0.770543896,0.899068131,0
EEDFELNL_01052_gene,292.2654127,-0.389610323,0.286397157,-1.360384743,0.173708204,0.433448852,0
EEDFELNL_01053_gene,160.70084,0.211542955,0.475298511,0.445073886,0.65626636,0.840584541,0
EEDFELNL_00110_gene,1706.504867,-0.321240949,0.223701174,-1.436027108,0.150994628,0.403492199,0
EEDFELNL_01054_gene,321.5981525,0.010709847,0.358057519,0.029910968,0.976138058,0.990272184,0
EEDFELNL_01055_gene,321.2113908,0.166084857,0.262852135,0.631856603,0.527480583,0.752065113,0
EEDFELNL_01056_gene,1268.886253,0.182632797,0.760415901,0.240174879,0.810194687,0.922162749,0
EEDFELNL_01057_gene,216.1443766,-0.377163452,0.667199079,-0.565293723,0.571873997,0.788040259,0
EEDFELNL_01058_gene,1.538617697,0.016546093,1.406259051,0.011766035,0.990612279,NA,0
EEDFELNL_01059_gene,160.6596243,-0.440175861,0.302455425,-1.455341263,0.145574809,0.396683121,0
EEDFELNL_01060_gene,17.75843007,-1.052711993,0.681357017,-1.545022606,0.122340795,NA,0
EEDFELNL_01061_gene,5.582097254,0.694903849,0.829225141,0.838015896,0.402021776,NA,0
EEDFELNL_01062_gene,2.764477391,0.445126397,1.253426432,0.355127661,0.722493955,NA,0
EEDFELNL_01063_gene,8.500396696,-0.4661538,0.68822525,-0.677327372,0.498198268,NA,0
EEDFELNL_00111_gene,1111.159361,-0.247028876,0.185535464,-1.331437507,0.183045095,0.443461473,0
EEDFELNL_01064_gene,21.82888859,-0.082328,0.523968901,-0.15712383,0.875147258,NA,0
EEDFELNL_01065_gene,3.206945496,-2.184911272,1.731301964,-1.262004732,0.206947084,NA,0
EEDFELNL_01066_gene,5.093938695,-0.602653395,1.43973693,-0.418585772,0.67551889,NA,0
EEDFELNL_01067_gene,50.71863207,-0.133053074,0.329611578,-0.403666262,0.686458152,0.857164677,0
EEDFELNL_01068_gene,98.03611995,-0.248973083,0.273633968,-0.909876378,0.362887709,0.622489857,0
EEDFELNL_01069_gene,9.682380329,0.315786193,0.706963229,0.446679799,0.65510627,NA,0
EEDFELNL_01070_gene,2.510785396,0.871651196,1.143483684,0.762276898,0.445894759,NA,0
EEDFELNL_01071_gene,1.350380354,-1.075063871,1.57545814,-0.682381743,0.494997597,NA,0
EEDFELNL_01072_gene,4.35759233,-0.460359569,0.984221732,-0.467739691,0.639970753,NA,0
EEDFELNL_01073_gene,89.8436168,-1.059574077,0.344503181,-3.075658324,0.002100384,0.028713784,0
EEDFELNL_00112_gene,1790.54676,0.383847168,0.307312236,1.249046158,0.211648192,0.479066376,0
EEDFELNL_01074_gene,202.9587841,0.14576479,0.333875699,0.436584005,0.662413065,0.844063706,0
EEDFELNL_01076_gene,2866.177977,-1.320583041,0.493604174,-2.675388725,0.007464265,0.072760354,0
EEDFELNL_01077_gene,147.2560649,0.373605626,0.398823737,0.936768781,0.348877507,0.611080758,0
EEDFELNL_01078_gene,29.49532744,0.408174215,0.380978117,1.071384936,0.283996383,0.560454124,0
EEDFELNL_01079_gene,63.93349906,-0.537603752,0.37759695,-1.423750252,0.154518781,0.409977642,0
EEDFELNL_01080_gene,369.735806,-0.313855265,0.312779867,-1.003438196,0.315649483,0.58631826,0
EEDFELNL_01081_gene,75.45556397,0.282577269,0.421419942,0.670536065,0.502516124,0.735281511,0
EEDFELNL_01082_gene,0.906772938,-0.09723827,2.738973852,-0.035501715,0.971679678,NA,0
EEDFELNL_01083_gene,36.23484464,-0.473804886,0.552463332,-0.857622323,0.391101045,0.6449787,0
EEDFELNL_01084_gene,234.8681999,0.675148183,0.263793577,2.55938067,0.010485885,0.091021945,0
EEDFELNL_00113_gene,929.1730204,1.098693084,0.307990132,3.56729963,0.000360679,0.007738204,0
EEDFELNL_01085_gene,125.7847707,0.21664912,0.278208626,0.778728983,0.436139379,0.684511367,0
EEDFELNL_01086_gene,438.2484913,-0.16040984,0.271228373,-0.591419839,0.554239151,0.773833801,0
EEDFELNL_01087_gene,604.1976063,0.451352293,0.268621065,1.680256513,0.092907418,0.315842959,0
EEDFELNL_01088_gene,103.5833123,1.275154046,0.347998737,3.664249058,0.000248065,0.005733633,0
EEDFELNL_01089_gene,174.9011472,1.334449246,0.293311611,4.549595711,5.37E-06,0.000233991,0
EEDFELNL_01090_gene,121.1473187,1.332865861,0.278718353,4.782124495,1.73E-06,8.84E-05,0
EEDFELNL_01091_gene,354.4950446,0.271962443,0.231551897,1.174520467,0.240186619,0.511880608,0
EEDFELNL_01092_gene,175.015187,0.45040237,0.250545377,1.797687811,0.072226494,0.279206052,0
EEDFELNL_01093_gene,7.074252959,-1.501946271,0.853271943,-1.76021992,0.078370526,NA,0
EEDFELNL_01094_gene,451.5835986,-0.159563618,0.237882972,-0.670765194,0.502370124,0.735281511,0
EEDFELNL_00114_gene,614.1327388,-0.476283221,0.38276625,-1.244318749,0.213382273,0.480565602,0
EEDFELNL_01095_gene,1414.570678,-0.131838135,0.200597103,-0.65722851,0.511033996,0.741465841,0
EEDFELNL_01096_gene,141.4270807,-0.073219822,0.26994822,-0.271236544,0.786209108,0.908642381,0
EEDFELNL_01097_gene,381.4779968,-0.69353494,0.224559761,-3.088420365,0.002012236,0.027762667,0
EEDFELNL_01098_gene,150.8670346,-0.583266383,0.308880806,-1.888321875,0.058982752,0.255042104,0
EEDFELNL_01099_gene,929.4694975,-0.360580142,0.220052231,-1.638611617,0.101294171,0.331051796,0
EEDFELNL_01100_gene,338.6163294,0.003138157,0.265722479,0.011809903,0.99057728,0.995614936,0
EEDFELNL_01101_gene,543.8747219,-0.226117411,0.230720714,-0.980048157,0.327062348,0.59603857,0
EEDFELNL_01102_gene,78.58819185,-0.172265238,0.378293969,-0.455374001,0.648840196,0.836996386,0
EEDFELNL_01103_gene,169.8075251,0.238300186,0.3486778,0.683439514,0.494329159,0.729855762,0
EEDFELNL_01104_gene,163.8173887,0.071452246,0.438797229,0.162836593,0.870647096,0.946619495,0
EEDFELNL_00115_gene,215.1084768,-0.260191333,0.233912786,-1.112343356,0.265990549,0.539439902,0
EEDFELNL_01105_gene,227.9019033,0.500042483,0.340454807,1.46874849,0.14190102,0.394962243,0
EEDFELNL_01106_gene,272.0250317,0.517640876,0.546272057,0.947588055,0.343339209,0.60647028,0
EEDFELNL_01107_gene,1468.703609,0.532560376,0.440928015,1.207817054,0.22711764,0.497020741,0
EEDFELNL_01108_gene,335.9535341,0.59831771,0.409917352,1.459605714,0.144398468,0.396398806,0
EEDFELNL_01109_gene,74.61761037,0.035904766,0.36663373,0.097930887,0.921987174,0.972230726,0
EEDFELNL_01110_gene,107.0873111,0.066661948,0.290080043,0.229805358,0.818243021,0.925113895,0
EEDFELNL_01111_gene,190.4647425,1.158106978,0.253941867,4.560520061,5.10E-06,0.00022654,0
EEDFELNL_01112_gene,121.7600812,1.567151755,0.343813813,4.558140765,5.16E-06,0.000226875,0
EEDFELNL_01113_gene,103.1921642,1.55305609,0.475654087,3.265095649,0.001094271,0.017338205,0
EEDFELNL_01114_gene,114.7144444,0.955797958,0.473599099,2.018158312,0.043574776,0.214949722,0
EEDFELNL_00016_gene,2407.392465,0.239061907,0.205730673,1.162013927,0.245229808,0.516249041,0
EEDFELNL_00116_gene,14370.83744,-0.556572111,0.193831619,-2.871420641,0.004086314,0.047346332,0
EEDFELNL_01115_gene,153.5653196,0.46413001,0.493073327,0.941300178,0.346551051,0.609351268,0
EEDFELNL_01116_gene,434.6056255,-0.066982123,0.616822898,-0.108592147,0.91352599,0.969985919,0
EEDFELNL_01117_gene,345.107015,1.362481897,0.296950262,4.588249523,4.47E-06,0.00020245,0
EEDFELNL_01118_gene,293.9129357,-0.225179992,0.551075828,-0.408618888,0.682819367,0.855958077,0
EEDFELNL_01119_gene,192.0188843,-0.140383687,0.314365422,-0.446562112,0.655191257,0.840584541,0
EEDFELNL_01120_gene,923.7872152,-0.113703674,0.359700143,-0.316106837,0.751921418,0.889843134,0
EEDFELNL_01121_gene,36.08990284,-0.550612156,0.451807661,-1.218687074,0.222962986,0.492738309,0
EEDFELNL_01122_gene,60.77337868,-0.424028471,0.454359528,-0.933244369,0.350693811,0.612825818,0
EEDFELNL_01123_gene,42.07372326,-0.258281757,0.502297863,-0.514200389,0.607111896,0.808080901,0
EEDFELNL_01124_gene,44.89118523,0.597161539,0.443927126,1.345179205,0.17856737,0.439701311,0
EEDFELNL_00117_gene,736.5511036,-0.17596979,0.264062824,-0.666393654,0.505159518,0.737918992,0
EEDFELNL_01125_gene,44.20999599,0.082395956,0.377581922,0.218220078,0.827257642,0.928331373,0
EEDFELNL_01126_gene,14.3967782,0.213266086,0.510664052,0.417625022,0.676221299,NA,0
EEDFELNL_01127_gene,44.28038067,-0.077304522,0.34867152,-0.221711603,0.824538397,0.927518366,0
EEDFELNL_01128_gene,567.220191,0.424487199,0.275981141,1.538102193,0.12402363,0.36756243,0
EEDFELNL_01129_gene,183.474481,1.028688338,0.489039676,2.103486464,0.035423267,0.190458669,0
EEDFELNL_01130_gene,53.08978513,-1.128906704,0.441471942,-2.557142585,0.010553595,0.091256722,0
EEDFELNL_01131_gene,83.21099623,-0.815138416,0.32935338,-2.474965993,0.013324886,0.106376014,0
EEDFELNL_01132_gene,594.4127829,-0.709843929,0.266332641,-2.665253222,0.007693037,0.074343919,0
EEDFELNL_01133_gene,394.9250679,-0.897127504,0.220951391,-4.060293541,4.90E-05,0.001547645,0
EEDFELNL_01134_gene,347.8141085,0.316562512,0.769834129,0.411208726,0.68091949,0.854771275,0
EEDFELNL_00118_gene,11189.24535,0.184866582,0.240329563,0.769221148,0.441762038,0.687803598,0
EEDFELNL_01135_gene,206.9310857,0.63776397,0.450266068,1.416415792,0.156653803,0.412954528,0
EEDFELNL_01136_gene,305.0264142,0.354167446,0.310365162,1.141131445,0.253815228,0.526170818,0
EEDFELNL_01137_gene,1487.993208,-3.055092617,1.406599734,-2.171970138,NA,NA,0
EEDFELNL_01138_gene,85.78739315,0.451849249,0.300920907,1.501554853,0.13321211,0.383637189,0
EEDFELNL_01139_gene,77.79339948,-0.272095875,0.290608692,-0.936296409,0.349120597,0.611267769,0
EEDFELNL_01140_gene,74.08495724,-0.494083633,0.358659447,-1.377584329,0.168331662,0.428133393,0
EEDFELNL_01141_gene,135.4863857,-0.38601627,0.276207057,-1.397561216,0.162244872,0.41907028,0
EEDFELNL_01142_gene,2086.492726,-0.027773041,0.305202477,-0.09099874,0.927493592,0.975335889,0
EEDFELNL_01143_gene,98.4997593,-0.195043958,0.298514596,-0.653381645,0.513510269,0.742288861,0
EEDFELNL_01144_gene,390.3357612,-0.002984694,0.21677863,-0.013768396,0.989014757,0.995614936,0
EEDFELNL_00119_gene,837.9362723,-0.924884648,0.394896623,-2.342093077,0.019175932,0.132164835,0
EEDFELNL_01145_gene,52.36208032,0.167801987,0.346939034,0.483664191,0.628624211,0.822992981,0
EEDFELNL_01146_gene,127.7162894,0.263266685,0.352175808,0.747543355,0.454735643,0.696391606,0
EEDFELNL_01147_gene,102.4488413,0.298925762,0.291518849,1.025408007,0.305170711,0.577621558,0
