Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Marker
HAAAELCE_00001_gene,845.2845704,0.286777422,0.17071262,1.679884135,0.092979861,0.225603883,0
HAAAELCE_00010_gene,348.7837065,1.310649703,0.218589949,5.995928491,2.02E-09,5.08E-08,0
HAAAELCE_00102_gene,1213.941202,0.291573486,0.185414789,1.572547083,0.115823729,0.263597256,0
HAAAELCE_01022_gene,343.825014,-0.393096701,0.265540828,-1.48036256,0.138776516,0.298420868,0
HAAAELCE_01023_gene,404.8601134,-0.53510142,0.24927794,-2.146605592,0.031824694,0.102373143,0
HAAAELCE_01024_gene,0,NA,NA,NA,NA,NA,0
HAAAELCE_01025_gene,104.3612401,0.043086922,0.301541954,0.142888649,0.886378124,0.940407717,0
HAAAELCE_01026_gene,149.9620888,-0.501068503,0.241834113,-2.07195129,0.038269984,0.118613314,0
HAAAELCE_01027_gene,822.4425594,0.390555087,0.181071985,2.156905094,0.03101306,0.100464842,0
HAAAELCE_01028_gene,491.6737168,-0.213449568,0.226919434,-0.940640318,0.346889213,0.548661449,0
HAAAELCE_01029_gene,14.91629502,-0.751245698,0.680658184,-1.103704789,0.269721218,0.468195321,0
HAAAELCE_01030_gene,120.822686,0.841555122,0.269291112,3.125075747,0.001777593,0.010449747,0
HAAAELCE_01032_gene,53.65518768,-0.42061558,0.303794205,-1.384541155,0.166192816,0.337646059,0
HAAAELCE_00103_gene,102.1364778,0.371585635,0.261234799,1.422420122,0.154904325,0.320491707,0
HAAAELCE_01033_gene,101.2981196,0.211323314,0.270486073,0.781272441,0.434642276,0.630214174,0
HAAAELCE_01034_gene,3003.560321,-1.732660156,0.298090906,-5.812522689,6.15E-09,1.40E-07,0
HAAAELCE_01035_gene,36.53478663,-1.992126699,0.776498751,-2.565524666,0.01030199,0.043146421,0
HAAAELCE_01036_gene,489.0969521,-0.285115773,0.262210864,-1.087353013,0.276880828,0.476279891,0
HAAAELCE_01037_gene,47.17363395,-1.184103734,0.389043233,-3.043630201,0.002337423,0.013032902,0
HAAAELCE_01038_gene,20.15464109,-1.009451054,0.493980263,-2.043504831,0.04100249,0.124571278,0
HAAAELCE_01039_gene,114.5989905,-0.926799767,0.257766899,-3.59549566,0.000323775,0.002441578,0
HAAAELCE_01040_gene,174.1262619,-0.080194831,0.24006377,-0.334056369,0.738337023,0.85442775,0
HAAAELCE_01041_gene,156.2283421,-0.438747343,0.255573037,-1.716719993,0.086030345,0.214493002,0
HAAAELCE_01042_gene,208.2142339,-0.279663074,0.341565004,-0.818769695,0.412917824,0.611894333,0
HAAAELCE_00104_gene,261.6259451,0.275574821,0.223015314,1.23567667,0.216578773,0.406914509,0
HAAAELCE_01043_gene,200.3620828,0.244163487,0.211818285,1.152702594,0.249032477,0.4464629,0
HAAAELCE_01044_gene,277.9742215,0.140788897,0.220036612,0.639843051,0.522274641,0.703562171,0
HAAAELCE_01045_gene,75.5009858,0.736400447,0.421381638,1.747585515,0.080535825,0.20439437,0
HAAAELCE_01046_gene,139.284691,0.372881301,0.240133038,1.552811329,0.120468215,0.271200877,0
HAAAELCE_01047_gene,218.8538391,0.255357448,0.229458659,1.112869085,0.265764659,0.46349386,0
HAAAELCE_01048_gene,39.67926643,-0.454280023,0.384628996,-1.181086262,0.237568457,0.433764239,0
HAAAELCE_01049_gene,156.3077954,-0.056857837,0.248128356,-0.229146873,0.818754763,0.902753046,0
HAAAELCE_01050_gene,474.3801204,0.27894129,0.281926834,0.989410217,0.322462478,0.524173913,0
HAAAELCE_01051_gene,1395.770991,-0.184993214,0.297578838,-0.621661186,0.534164679,0.711875671,0
HAAAELCE_01052_gene,1035.875148,-0.155679297,0.251543347,-0.618896499,0.535984545,0.713439761,0
HAAAELCE_00105_gene,2783.690563,0.838279274,0.187433572,4.472407277,7.73E-06,9.55E-05,0
HAAAELCE_01053_gene,405.7307845,0.031786919,0.251787834,0.126244858,0.899538104,0.947237783,0
HAAAELCE_01054_gene,1078.275358,-0.364836129,0.250168931,-1.458359068,0.144741597,0.307012214,0
HAAAELCE_01055_gene,226.3382393,0.644979915,0.320307242,2.013628888,0.044048511,0.131787415,0
HAAAELCE_01056_gene,4167.273143,0.235900433,0.199890691,1.180147167,0.237941688,0.433764239,0
HAAAELCE_01057_gene,156.7066071,0.456688919,0.218766034,2.08756776,0.036836843,0.115010957,0
HAAAELCE_01058_gene,1286.091184,0.365494508,0.16962827,2.154679217,0.031186945,0.100909694,0
HAAAELCE_01059_gene,822.449992,0.055583578,0.169484506,0.32795669,0.742944409,0.857781455,0
HAAAELCE_01060_gene,104.4347656,-0.824142121,0.304124221,-2.709886498,0.006730624,0.0308324,0
HAAAELCE_01061_gene,4138.140238,-1.060576239,0.206788794,-5.128789708,2.92E-07,4.99E-06,0
HAAAELCE_01062_gene,1108.300268,-1.217795513,0.220933516,-5.512045133,3.55E-08,6.97E-07,0
HAAAELCE_00106_gene,733.1301244,-0.148653834,0.201507475,-0.737708783,0.460691434,0.651627193,0
HAAAELCE_01063_gene,29824.67465,0.054400819,0.234680847,0.231807665,0.816687403,0.90183832,0
HAAAELCE_01064_gene,20.55211711,-0.346033486,0.551107435,-0.627887529,0.530077621,0.709265326,0
HAAAELCE_01065_gene,33.98673218,-0.61107283,0.459431731,-1.330062312,0.183497742,0.362674942,0
HAAAELCE_01066_gene,1.470117463,-0.040528058,1.647353469,-0.02460192,0.980372488,NA,0
HAAAELCE_01067_gene,47.54844125,0.461421081,0.401721435,1.14860956,0.250717013,0.447737921,0
HAAAELCE_01069_gene,31.62520279,-0.116687716,0.404850599,-0.28822414,0.773175171,0.876274708,0
HAAAELCE_01070_gene,8.647115045,0.745210694,0.782766529,0.952021664,0.341085995,0.543971515,0
HAAAELCE_01072_gene,15.08567962,-0.972786858,0.651855039,-1.492336178,0.135611037,0.295178598,0
HAAAELCE_01073_gene,22.25860594,-0.335026865,0.475960504,-0.703896357,0.48149732,0.670839275,0
HAAAELCE_01074_gene,385.131083,-0.023215166,0.200785931,-0.115621478,0.90795254,0.951746681,0
HAAAELCE_00107_gene,1583.835899,0.575867299,0.208320659,2.764331208,0.005703961,0.027026493,0
HAAAELCE_01075_gene,5540.49161,-1.287986508,0.425350069,-3.0280623,0.002461273,0.013572657,0
