Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Marker
KKIIADKH_00001_gene,1295.558106,-1.181173262,0.095221112,-12.40453126,2.47E-35,4.34E-34,0
KKIIADKH_00010_gene,78.25256145,0.891574866,0.268947749,3.315048626,0.000916272,0.001870256,0
KKIIADKH_00101_gene,107.2436047,0.157401208,0.216580716,0.726755413,0.467375801,0.539145119,0
KKIIADKH_01012_gene,2160.351746,0.8616466,0.115243135,7.476771591,7.62E-14,4.15E-13,0
KKIIADKH_01013_gene,2040.546832,-0.220335029,0.098086617,-2.246331203,0.024682801,0.039627916,0
KKIIADKH_01014_gene,463.6927122,-0.646772284,0.13416952,-4.820560475,1.43E-06,4.17E-06,0
KKIIADKH_01015_gene,317.7941442,0.055378658,0.180484654,0.306833058,0.758970444,0.806518075,0
KKIIADKH_01016_gene,119.5276104,-0.490895117,0.199777954,-2.457203642,0.014002329,0.023752054,0
KKIIADKH_01017_gene,72.28035111,-0.80069503,0.307512765,-2.603778187,0.009220241,0.01606815,0
KKIIADKH_01018_gene,500.0869738,-0.731742777,0.122560027,-5.970484795,2.37E-09,8.99E-09,0
KKIIADKH_01019_gene,153.0645934,-1.816159136,0.183751119,-9.883799078,4.89E-23,4.81E-22,0
KKIIADKH_01020_gene,44.59568965,-1.400483091,0.337617165,-4.14813948,3.35E-05,8.25E-05,0
KKIIADKH_01021_gene,47.44267471,-1.33587572,0.304179754,-4.391731208,1.12E-05,2.95E-05,0
KKIIADKH_00102_gene,398.2584705,-0.890013144,0.12461088,-7.142338988,9.18E-13,4.61E-12,0
KKIIADKH_01022_gene,996.9472347,0.044283895,0.116497184,0.38012846,0.70385006,0.756878088,0
KKIIADKH_01023_gene,834.6391056,-0.747898372,0.111205034,-6.725400346,1.75E-11,7.98E-11,0
KKIIADKH_01024_gene,3648.030431,0.815294341,0.102790369,7.931621864,2.16E-15,1.33E-14,0
KKIIADKH_01025_gene,453.8610347,0.980266055,0.161649879,6.064131081,1.33E-09,5.18E-09,0
KKIIADKH_01026_gene,134.530476,0.790349487,0.200858813,3.934850935,8.32E-05,0.000195965,0
KKIIADKH_01027_gene,87.71934898,0.469082396,0.233614437,2.007934112,0.044650294,0.068080646,0
KKIIADKH_01028_gene,136.7648408,0.93742885,0.206578854,4.537874191,5.68E-06,1.54E-05,0
KKIIADKH_01029_gene,101.0279084,0.756779465,0.222705734,3.398113971,0.000678521,0.00141407,0
KKIIADKH_01030_gene,73.41681284,0.975412573,0.261202802,3.734311288,0.00018823,0.00042645,0
KKIIADKH_01031_gene,241.0461085,0.052966621,0.146307325,0.362023032,0.717334819,0.768835781,0
KKIIADKH_00103_gene,500.0586158,-0.62172835,0.11966221,-5.19569504,2.04E-07,6.54E-07,0
